BEGIN (praclist)
//	OrigNr	SET	NRSYLL	CONSON	NR IN SET	COND	STIMULUS	LIST
	1	0,	1,	"d/b+k",	1,	"B",	"daf bekken baken dep",		1;
	2	0,	2,	"n/v+k",	2,	"W",	"nukken, vulcaan, vokaal, nimmer",	1;
	3	0,	1,	"g/r+d",	4,	"N",	"git dieren doris gal",			1;
	4	0,	1,	"l/r+k",	4,	"N",	"lis kieren kuren lek",		1;
	5	0,	2,	"k/g+l",	4,	"N",	"bedis, lemmet, lijmen, gedol",		1;
	6	0,	2,	"l/k+r",	2,	"W",	"lommer, rokin, recruut, lasser",	1;
	7	0,	2,	"l/n+k",	3,	"S",	"velours, kanon, konijn, geloof",	1;
	8	0,	1,	"v/r+g",	3,	"S",	"vin gerei gareel vel",			1;
	8	0,	1,	"n/m+l",	2,	"W",	"nop malloot moluk nes",		1;
	9	0,	1,	"k/l+r",	3,	"S",	"kol roelien relaas keep",		1;
	10	0,	2,	"m/t+n",	1,	"B",	"meter, tennis, tunnel, moker",		1;
END (praclist)

BEGIN (testlist 1)								
//	OrigNr	SET	NRSYLL	CONSON	NR IN SET	COND	STIMULUS		LIST
	1,	1,	1,	"w/r+p",	1,	"B",	"wok rapper roeper wal",		1;
	2,	1,	1,	"w/r+p",	2,	"W",	"wad rapport rapier wol",		1;
	3,	1,	1,	"w/r+p",	3,	"S",	"win parijs poreus wel",		1;
	4,	1,	1,	"w/r+p",	4,	"N",	"wit pieren parel was",		1;
	5,	2,	1,	"w/r+d",	1,	"B",	"wig radar ridder weg",		1;
	6,	2,	1,	"w/r+d",	2,	"W",	"won radauw radijs wiel",		1;
	7,	2,	1,	"w/r+d",	3,	"S",	"web direct dorien wak",		1;
	8,	2,	1,	"w/r+d",	4,	"N",	"wis dieren duren wil",		1;
	9,	3,	1,	"n/m+l",	1,	"B",	"nap molen maken nok",		1;
	10,	3,	1,	"n/m+l",	2,	"W",	"nog maleis meloen nuf",		1;
	11,	3,	1,	"n/m+l",	3,	"S",	"nut lamel limiet nies",		1;
	12,	3,	1,	"n/m+l",	4,	"N",	"nuk lemmet lommer net",		1;
	13,	4,	1,	"n/m+r",	1,	"B",	"nep morren mieren nis",		1;
	14,	4,	1,	"n/m+r",	2,	"W",	"nat merijn marien nek",		1;
	15,	4,	1,	"n/m+r",	3,	"S",	"niet remous romein nul",		1;
	16,	4,	1,	"n/m+r",	4,	"N",	"neut raming rommel nies",		1;
	17,	5,	1,	"b/v+z",	1,	"B",	"bak vazen vezel bel",			1;
	18,	5,	1,	"b/v+z",	2,	"W",	"bot vazal vizier bit",			1;
