Frequency (Hz)	Level (dB)
5.859375	-60.660164
11.718750	-50.449745
17.578125	-34.330704
23.437500	-25.048941
29.296875	-21.614916
35.156250	-21.034590
41.015625	-21.224356
46.875000	-21.238695
52.734375	-21.369976
58.593750	-21.824026
64.453125	-22.136961
70.312500	-22.097681
76.171875	-22.408527
82.031250	-22.854786
87.890625	-22.906754
93.750000	-23.113071
99.609375	-23.524080
105.468750	-23.929321
111.328125	-24.223026
117.187500	-24.384388
123.046875	-24.732332
128.906250	-25.071880
134.765625	-25.160820
140.625000	-25.322515
146.484375	-25.710094
152.343750	-25.946817
158.203125	-26.026737
164.062500	-26.150270
169.921875	-26.351704
175.781250	-26.185780
181.640625	-26.474604
187.500000	-27.033745
193.359375	-27.196136
199.218750	-27.424704
205.078125	-27.526417
210.937500	-27.823437
216.796875	-28.070227
222.656250	-28.306829
228.515625	-28.387445
234.375000	-28.481983
240.234375	-28.493509
246.093750	-28.900328
251.953125	-29.258614
257.812500	-29.312183
263.671875	-29.135046
269.531250	-29.451258
275.390625	-29.783453
281.250000	-30.097980
287.109375	-30.107424
292.968750	-30.134195
298.828125	-30.390978
304.687500	-30.223179
310.546875	-30.554079
316.406250	-30.548847
322.265625	-30.829039
328.125000	-31.324671
333.984375	-31.443722
339.843750	-31.448771
345.703125	-31.366648
351.562500	-31.535440
357.421875	-31.710932
363.281250	-32.062641
369.140625	-31.913122
375.000000	-32.173798
380.859375	-32.465832
386.718750	-32.518677
392.578125	-32.737038
398.437500	-33.011257
404.296875	-32.818588
410.156250	-32.679699
416.015625	-32.976917
421.875000	-33.028412
427.734375	-33.298035
433.593750	-33.649220
439.453125	-33.688412
445.312500	-33.836258
451.171875	-33.712116
457.031250	-33.945374
462.890625	-34.087608
468.750000	-33.975277
474.609375	-33.825474
480.468750	-34.096767
486.328125	-34.405640
492.187500	-34.482128
498.046875	-34.527020
503.906250	-34.574223
509.765625	-34.715626
515.625000	-34.511734
521.484375	-35.061718
527.343750	-35.305504
533.203125	-35.017914
539.062500	-35.093388
544.921875	-35.248375
550.781250	-35.412292
556.640625	-35.433659
562.500000	-35.358948
568.359375	-35.985909
574.218750	-36.006958
580.078125	-35.628162
585.937500	-35.671021
591.796875	-35.759365
597.656250	-36.074108
603.515625	-36.036541
609.375000	-35.917252
615.234375	-36.242962
621.093750	-36.569855
626.953125	-36.401279
632.812500	-36.226669
638.671875	-36.299210
644.531250	-36.407722
650.390625	-36.643494
656.250000	-36.987801
662.109375	-36.981888
667.968750	-36.938831
673.828125	-37.091412
679.687500	-37.228382
685.546875	-37.469360
691.406250	-37.507454
697.265625	-37.450539
703.125000	-37.545315
708.984375	-37.690220
714.843750	-37.526928
720.703125	-37.444809
726.562500	-37.390430
732.421875	-37.523685
738.281250	-37.868248
744.140625	-38.097927
750.000000	-37.836658
755.859375	-37.846035
761.718750	-37.901600
767.578125	-37.911964
773.437500	-38.210411
779.296875	-38.318165
785.156250	-38.282089
791.015625	-38.278309
796.875000	-38.420235
802.734375	-38.423550
808.593750	-38.864101
814.453125	-38.412052
820.312500	-38.592968
826.171875	-38.916389
832.031250	-38.741039
837.890625	-38.948078
843.750000	-39.031174
849.609375	-39.064651
855.468750	-39.285656
861.328125	-39.441357
867.187500	-39.103783
873.046875	-39.106167
878.906250	-39.172554
884.765625	-39.163681
890.625000	-39.240067
896.484375	-39.656662
902.343750	-39.955238
908.203125	-40.083969
914.062500	-39.954510
919.921875	-39.868843
925.781250	-40.048069
931.640625	-40.046249
937.500000	-40.235088
943.359375	-40.057446
949.218750	-39.862480
955.078125	-40.103832
960.937500	-40.266125
966.796875	-40.072094
972.656250	-40.229084
978.515625	-40.486740
984.375000	-40.360695
990.234375	-40.278156
996.093750	-40.168728
1001.953125	-40.450634
1007.812500	-40.658306
1013.671875	-40.795494
1019.531250	-40.778721
1025.390625	-40.714668
1031.250000	-40.853783
1037.109375	-40.620735
1042.968750	-41.074902
1048.828125	-41.064953
1054.687500	-40.991940
1060.546875	-40.960670
1066.406250	-40.870140
1072.265625	-41.112762
1078.125000	-41.040520
1083.984375	-41.072971
1089.843750	-41.090733
1095.703125	-41.224972
1101.562500	-41.169960
1107.421875	-41.406395
1113.281250	-41.452202
1119.140625	-41.360313
1125.000000	-41.186119
1130.859375	-41.289871
1136.718750	-41.376095
1142.578125	-41.529503
1148.437500	-41.624645
1154.296875	-41.911392
1160.156250	-41.899040
1166.015625	-41.915485
1171.875000	-41.844921
1177.734375	-41.602482
1183.593750	-41.785702
1189.453125	-42.174126
1195.312500	-42.216091
1201.171875	-41.934959
1207.031250	-41.907650
1212.890625	-41.700012
1218.750000	-42.052113
1224.609375	-42.317902
1230.468750	-42.351570
1236.328125	-42.274349
1242.187500	-42.531364
1248.046875	-42.545044
1253.906250	-42.375813
1259.765625	-42.433712
1265.625000	-42.712421
1271.484375	-42.667561
1277.343750	-42.678394
1283.203125	-42.464611
1289.062500	-42.540306
1294.921875	-42.678326
1300.781250	-42.656918
1306.640625	-42.793087
1312.500000	-42.699234
1318.359375	-42.913296
1324.218750	-42.885639
1330.078125	-42.990772
1335.937500	-43.110737
1341.796875	-43.139656
1347.656250	-43.062279
1353.515625	-42.961460
1359.375000	-42.928452
1365.234375	-42.864956
1371.093750	-43.087761
1376.953125	-43.297684
1382.812500	-43.282131
1388.671875	-43.245171
1394.531250	-43.174286
1400.390625	-43.422249
1406.250000	-43.300415
1412.109375	-43.311798
1417.968750	-43.443295
1423.828125	-43.442993
1429.687500	-43.337036
1435.546875	-43.380638
1441.406250	-43.778713
1447.265625	-43.528160
1453.125000	-43.470192
1458.984375	-43.520592
1464.843750	-43.558804
1470.703125	-43.609276
1476.562500	-43.895611
1482.421875	-43.768795
1488.281250	-43.894566
1494.140625	-44.204891
1500.000000	-44.123142
1505.859375	-43.925312
1511.718750	-43.674908
1517.578125	-43.736958
1523.437500	-44.057068
1529.296875	-44.131908
1535.156250	-44.237816
1541.015625	-44.417023
1546.875000	-44.304512
1552.734375	-44.460808
1558.593750	-44.331005
1564.453125	-44.332981
1570.312500	-44.459358
1576.171875	-44.576988
1582.031250	-44.509602
1587.890625	-44.469616
1593.750000	-44.692295
1599.609375	-44.629803
1605.468750	-44.429764
1611.328125	-44.576981
1617.187500	-44.826443
1623.046875	-44.962776
1628.906250	-44.710094
1634.765625	-44.688850
1640.625000	-44.876980
1646.484375	-45.134499
1652.343750	-44.761002
1658.203125	-44.564781
1664.062500	-44.451870
1669.921875	-44.622208
1675.781250	-44.811634
1681.640625	-45.084530
1687.500000	-45.160439
1693.359375	-45.051746
1699.218750	-44.819489
1705.078125	-44.966526
1710.937500	-44.901085
1716.796875	-45.067181
1722.656250	-45.054924
1728.515625	-45.089127
1734.375000	-45.004852
1740.234375	-45.196545
1746.093750	-45.267555
1751.953125	-45.136963
1757.812500	-45.352787
1763.671875	-45.492764
1769.531250	-45.321335
1775.390625	-45.280647
1781.250000	-45.311157
1787.109375	-45.501537
1792.968750	-45.581474
1798.828125	-45.535538
1804.687500	-45.519562
1810.546875	-45.528675
1816.406250	-45.456074
1822.265625	-45.409920
1828.125000	-45.577709
1833.984375	-45.540302
1839.843750	-45.602463
1845.703125	-45.357616
1851.562500	-45.463852
1857.421875	-45.676254
1863.281250	-45.780998
1869.140625	-45.854637
1875.000000	-45.940418
1880.859375	-46.051765
1886.718750	-46.070068
1892.578125	-45.729065
1898.437500	-45.800438
1904.296875	-45.943130
1910.156250	-45.854397
1916.015625	-45.866795
1921.875000	-45.868660
1927.734375	-45.840191
1933.593750	-46.088440
1939.453125	-46.253021
1945.312500	-46.279743
1951.171875	-46.156231
1957.031250	-46.177002
1962.890625	-46.226738
1968.750000	-46.036484
1974.609375	-46.182880
1980.468750	-46.438850
1986.328125	-45.992203
1992.187500	-46.180965
1998.046875	-46.417587
2003.906250	-46.537479
2009.765625	-46.917263
2015.625000	-46.678734
2021.484375	-46.607780
2027.343750	-46.344807
2033.203125	-46.444721
2039.062500	-46.678661
2044.921875	-46.822807
2050.781250	-46.915371
2056.640625	-46.422455
2062.500000	-46.791351
2068.359375	-46.788380
2074.218750	-46.841858
2080.078125	-46.835682
2085.937500	-46.918285
2091.796875	-46.904995
2097.656250	-46.746552
2103.515625	-46.953617
2109.375000	-46.804298
2115.234375	-46.421116
