Frequency (Hz)	Level (dB)
5.859375	-20.402822
11.718750	-20.727791
17.578125	-20.492737
23.437500	-20.382868
29.296875	-20.777388
35.156250	-21.037315
41.015625	-21.202824
46.875000	-21.214912
52.734375	-21.320955
58.593750	-21.815256
64.453125	-22.138906
70.312500	-22.082939
76.171875	-22.411781
82.031250	-22.855284
87.890625	-22.906818
93.750000	-23.113541
99.609375	-23.529146
105.468750	-23.923622
111.328125	-24.223576
117.187500	-24.379675
123.046875	-24.734829
128.906250	-25.062672
134.765625	-25.159515
140.625000	-25.320562
146.484375	-25.710773
152.343750	-25.949051
158.203125	-26.021225
164.062500	-26.152245
169.921875	-26.347595
175.781250	-26.184170
181.640625	-26.475309
187.500000	-27.035099
193.359375	-27.195988
199.218750	-27.428562
205.078125	-27.528284
210.937500	-27.820002
216.796875	-28.071480
222.656250	-28.306810
228.515625	-28.385836
234.375000	-28.485231
240.234375	-28.486860
246.093750	-28.898201
251.953125	-29.260586
257.812500	-29.312485
263.671875	-29.129965
269.531250	-29.454454
275.390625	-29.777708
281.250000	-30.099831
287.109375	-30.104433
292.968750	-30.133911
298.828125	-30.386890
304.687500	-30.225414
310.546875	-30.550659
316.406250	-30.548103
322.265625	-30.829006
328.125000	-31.322762
333.984375	-31.444147
339.843750	-31.449242
345.703125	-31.367544
351.562500	-31.530565
357.421875	-31.711849
363.281250	-32.057064
369.140625	-31.912352
375.000000	-32.174034
380.859375	-32.464077
386.718750	-32.518944
392.578125	-32.736385
398.437500	-33.008835
404.296875	-32.820053
410.156250	-32.677097
416.015625	-32.978703
421.875000	-33.024429
427.734375	-33.297482
433.593750	-33.644348
439.453125	-33.685463
445.312500	-33.838268
451.171875	-33.708755
457.031250	-33.948261
462.890625	-34.085556
468.750000	-33.973480
474.609375	-33.826694
480.468750	-34.097267
486.328125	-34.404419
492.187500	-34.480591
498.046875	-34.531021
503.906250	-34.574139
509.765625	-34.712826
515.625000	-34.509636
521.484375	-35.063057
527.343750	-35.306309
533.203125	-35.018456
539.062500	-35.095055
544.921875	-35.241261
550.781250	-35.415176
556.640625	-35.431847
562.500000	-35.361301
568.359375	-35.984138
574.218750	-36.004417
580.078125	-35.626747
585.937500	-35.673035
591.796875	-35.756683
597.656250	-36.076275
603.515625	-36.035122
609.375000	-35.915897
615.234375	-36.239799
621.093750	-36.569489
626.953125	-36.395679
632.812500	-36.230480
638.671875	-36.299519
644.531250	-36.406727
650.390625	-36.639683
656.250000	-36.984497
662.109375	-36.982502
667.968750	-36.938477
673.828125	-37.092636
679.687500	-37.228695
685.546875	-37.468330
691.406250	-37.504528
697.265625	-37.443356
703.125000	-37.545856
708.984375	-37.686436
714.843750	-37.526711
720.703125	-37.440224
726.562500	-37.390575
732.421875	-37.522144
738.281250	-37.865284
744.140625	-38.099163
750.000000	-37.836720
755.859375	-37.843243
761.718750	-37.902332
767.578125	-37.909290
773.437500	-38.205151
779.296875	-38.319614
785.156250	-38.279888
791.015625	-38.280506
796.875000	-38.419071
802.734375	-38.423801
808.593750	-38.863575
814.453125	-38.408390
820.312500	-38.595032
826.171875	-38.912857
832.031250	-38.740402
837.890625	-38.946365
843.750000	-39.028748
849.609375	-39.062912
855.468750	-39.282001
861.328125	-39.440609
867.187500	-39.102142
873.046875	-39.108013
878.906250	-39.170353
884.765625	-39.161552
890.625000	-39.237270
896.484375	-39.653889
902.343750	-39.952297
908.203125	-40.089394
914.062500	-39.953106
919.921875	-39.867710
925.781250	-40.047825
931.640625	-40.049191
937.500000	-40.232819
943.359375	-40.055580
949.218750	-39.857185
955.078125	-40.103989
960.937500	-40.265461
966.796875	-40.072727
972.656250	-40.226208
978.515625	-40.484917
984.375000	-40.361526
990.234375	-40.276718
996.093750	-40.169479
1001.953125	-40.448158
1007.812500	-40.659603
1013.671875	-40.798264
1019.531250	-40.777222
1025.390625	-40.719051
1031.250000	-40.852180
1037.109375	-40.624336
1042.968750	-41.071064
1048.828125	-41.064487
1054.687500	-40.989445
1060.546875	-40.961197
1066.406250	-40.869148
1072.265625	-41.113148
1078.125000	-41.042984
1083.984375	-41.072552
1089.843750	-41.091805
1095.703125	-41.226234
1101.562500	-41.166122
1107.421875	-41.403484
1113.281250	-41.451340
1119.140625	-41.359241
1125.000000	-41.188595
1130.859375	-41.286098
1136.718750	-41.378151
1142.578125	-41.526352
1148.437500	-41.623199
1154.296875	-41.912651
1160.156250	-41.896206
1166.015625	-41.914547
1171.875000	-41.844391
1177.734375	-41.599480
1183.593750	-41.784309
1189.453125	-42.168777
1195.312500	-42.218273
1201.171875	-41.935711
1207.031250	-41.907021
1212.890625	-41.702515
1218.750000	-42.053413
1224.609375	-42.319771
1230.468750	-42.349274
1236.328125	-42.275425
1242.187500	-42.530499
1248.046875	-42.540276
1253.906250	-42.376350
1259.765625	-42.431393
1265.625000	-42.714867
1271.484375	-42.666046
1277.343750	-42.674034
1283.203125	-42.462898
1289.062500	-42.539791
1294.921875	-42.676991
1300.781250	-42.652473
1306.640625	-42.795372
1312.500000	-42.698189
1318.359375	-42.916752
1324.218750	-42.886456
1330.078125	-42.991299
1335.937500	-43.112045
1341.796875	-43.138916
1347.656250	-43.062649
1353.515625	-42.958645
1359.375000	-42.930096
1365.234375	-42.861595
1371.093750	-43.086021
1376.953125	-43.299957
1382.812500	-43.281403
1388.671875	-43.248783
1394.531250	-43.175476
1400.390625	-43.420597
1406.250000	-43.300194
1412.109375	-43.314327
1417.968750	-43.441303
1423.828125	-43.438488
1429.687500	-43.332577
1435.546875	-43.378315
1441.406250	-43.780846
1447.265625	-43.531723
1453.125000	-43.471836
