### Test phase results ###
session_id;trialnum;condition;researcher_id;listnr;OrigNr;Set;NrSyll;conson;NrInSet;Cond;Stimulus;vis_WavFilename;inv_WavFilename;List;visible_recording_starttime;visible_recording_endtime;invisible_recording_starttime;invisible_recording_endtime;vis_rt;inv_rt
0005;0;0;JD;1;1;0;1;d/b+k;1;B;daf-bekken-baken-dep;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T001N001L1S00B-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T001N001L1S00B-B.wav;1;2015-07-10T11:16:38.737900Z;2015-07-10T11:16:42.001367Z;2015-07-10T11:16:42.001778Z;2015-07-10T11:16:42.501571Z;3263;499
0005;1;0;JD;1;2;0;2;n/v+k;2;W;nukken-vulcaan-vokaal-nimmer;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T002N002L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T002N002L1S00W-B.wav;1;2015-07-10T11:16:42.501917Z;2015-07-10T11:16:42.532322Z;2015-07-10T11:16:42.532703Z;2015-07-10T11:16:42.562113Z;30;29
0005;2;0;JD;1;3;0;1;g/r+d;4;N;git-dieren-doris-gal;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T003N003L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T003N003L1S00N-B.wav;1;2015-07-10T11:16:42.562532Z;2015-07-10T11:16:42.592413Z;2015-07-10T11:16:42.592742Z;2015-07-10T11:16:42.621941Z;30;29
0005;3;0;JD;1;4;0;1;l/r+k;4;N;lis-kieren-kuren-lek;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T004N004L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T004N004L1S00N-B.wav;1;2015-07-10T11:16:42.622345Z;2015-07-10T11:16:42.652177Z;2015-07-10T11:16:42.652544Z;2015-07-10T11:16:42.682557Z;30;30
0005;4;0;JD;1;5;0;2;k/g+l;4;N;bedis-lemmet-lijmen-gedol;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T005N005L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T005N005L1S00N-B.wav;1;2015-07-10T11:16:42.682930Z;2015-07-10T11:16:42.712693Z;2015-07-10T11:16:42.713059Z;2015-07-10T11:16:43.081368Z;29;368
0005;5;0;JD;1;6;0;2;l/k+r;2;W;lommer-rokin-recruut-lasser;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T006N006L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T006N006L1S00W-B.wav;1;2015-07-10T11:16:43.081827Z;2015-07-10T11:16:43.581602Z;2015-07-10T11:16:43.582081Z;2015-07-10T11:16:43.611898Z;499;29
0005;6;0;JD;1;7;0;2;l/n+k;3;S;velours-kanon-konijn-geloof;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T007N007L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T007N007L1S00S-B.wav;1;2015-07-10T11:16:43.612309Z;2015-07-10T11:16:43.641995Z;2015-07-10T11:16:43.642387Z;2015-07-10T11:16:43.673204Z;30;31
0005;7;0;JD;1;8;0;1;v/r+g;3;S;vin-gerei-gareel-vel;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T008N008L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T008N008L1S00S-B.wav;1;2015-07-10T11:16:43.673567Z;2015-07-10T11:16:43.703512Z;2015-07-10T11:16:43.703961Z;2015-07-10T11:16:43.733202Z;30;29
0005;8;0;JD;1;8;0;1;n/m+l;2;W;nop-malloot-moluk-nes;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T009N008L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T009N008L1S00W-B.wav;1;2015-07-10T11:16:43.733532Z;2015-07-10T11:16:43.763713Z;2015-07-10T11:16:43.764046Z;2015-07-10T11:16:43.794436Z;30;30
0005;9;0;JD;1;9;0;1;k/l+r;3;S;kol-roelien-relaas-keep;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T010N009L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/005-dummy-P-T010N009L1S00S-B.wav;1;2015-07-10T11:16:43.794814Z;2015-07-10T11:16:43.824465Z;2015-07-10T11:16:43.824840Z;2015-07-10T11:16:43.854434Z;29;29
