### itemlist1 ###
"OrigNr";"Set";"NrSyll";"Cons";"SIM";"COND";"Stimulus";"List"
12;1;1;"wrlb";0;"B";"water rapper lommer bikkel";1
2;1;2;"wpdg";0;"W";"nuttig lamel poreus niessen";1
3;1;3;"nplg";0;"S";"noteer maleis rapier varaan";1
4;1;4;"wrks";0;"N";"geniet lemming weiland gevit";1
5;2;1;"nmrw";0;"B";"nepper morren ridder wegen";1
6;2;2;"kdlw";0;"W";"moter remous zover takken";1
7;2;3;"bdrw";0;"S";"papier merijn vizier bedot";1
8;2;4;"wrzl";0;"N";"genot raming lodder bezit";1
9;3;1;"nmrw";0;"B";"bakker vazen maken nodig";1
10;3;2;"nlpn";0;"W";"doeken zoveel romein goten";1
11;3;3;"tlpr";0;"S";"beman vazal radijs gewoel";1
12;3;4;"nmlv";0;"N";"wijzer parijs dorien gozer";1
13;4;1;"nmrw";0;"B";"gebod zuiver lommer rivier ";1
14;4;2;"mrzt";0;"W";"vader bellen kommer pooier";1
15;4;3;"przd";0;"S";"vatten labiel topaas doelen";1
16;4;4;"nmdz";0;"N";"tomaat kanon boleet gevat";1
17;5;1;"bvmn";0;"B";"ravijn lening zeker gebed ";1
18;5;2;"dzrg";0;"W";"pieter kamer vezel bowling";1
19;5;3;"mzdw";0;"S";"passen mekaar libel buiging";1
20;5;4;"bvmv";0;"N";"rabbijn kameel balein tonijn";1
21;6;1;"vbkp";0;"B";"tapijt makker wever gebed ";1
22;6;2;"vltd";0;"W";"koper pater rekel ladder";1
23;6;3;"mnlv";0;"S";"kaneel rapport meloen figuur";1
24;6;4;"vnkb";0;"N";"kochten tapijt makaak pochen";1
25;7;1;"pkvb";0;"B";"rozijn patat rekest manier";1
26;7;2;"pmlb";0;"W";"bekom tepel karig malloot ";1
27;7;3;"bmln";0;"S";"liever rakker peter ketter";1
28;7;4;"pkvb";0;"N";"likken karos topaas duiker";1
29;8;1;"kprl";0;"B";"balein raket potent kozijn";1
30;8;2;"ktmp";0;"W";"belet kerel mocca tapuit ";1
31;8;3;"ztkn";0;"S";"lekker raven builen veter";1
32;8;4;"kprl";0;"N";"lijken varaan koraal zeggen";1
33;9;1;"lrpk";0;"B";"loket ravijn banaan pedant";1
34;9;2;"lktd";0;"W";"lawaai pieren bakken gesop";1
35;9;3;"rktz";0;"S";"geloof virus tafel tekijk";1
36;9;4;"lrkp";0;"N";"jekker later doping koppig";1
37;10;1;"lrbv";0;"B";"jager talent viriel zoeker";1
38;10;2;"lvkz";0;"W";"meneer latijn rivier moreel";1
39;10;3;"kvnd";0;"S";"gejok teler varen bezoek ";1
40;10;4;"rlfk";0;"N";"jager loper rover moedig";1
41;11;1;"jldk";0;"B";"joelen paleis roman moker";1
42;11;2;"jtvz";0;"W";"kopij kajuit metaal rozijn";1
43;11;3;"ntvr";0;"S";"bejaard paling deren gemaal";1
44;11;4;"jlrz";0;"N";"dolen jura jarig duiker";1
45;12;1;"jlrm";0;"B";"waggel radar mieren nissan";1
46;12;2;"jprm";0;"W";"duvel jorien jeroen doper";1
47;12;3;"pjtz";0;"S";"gedoe robijn gebal gedaas";1
48;12;4;"jprm";0;"N";"getut redding roedel beton ";1
49;13;1;"dj";1;"B";"zaling dame duimel zakker";1
50;13;2;"dj";1;"W";"zuiger domein damast zaling";1
51;13;3;"dr";1;"S";"bezaan modern madam seizoen";1
52;13;4;"td";1;"N";"gezag moeder modder bezet ";1
53;14;1;"zd";1;"B";"kennis gekkie gele kater";1
54;14;2;"zd";1;"W";"kotter geluk geloof kapper";1
55;14;3;"zd";1;"S";"bekijk legaat legaal bekort";1
56;14;4;"zd";1;"N";"koning direct limiet weiden";1
57;15;1;"kg";1;"B";"bekoor lachen lichaam bekoel ";1
58;15;2;"kg";1;"W";"gaper kale koele gene";1
59;15;3;"kg";1;"S";"gokker kalot Colijn gister";1
60;15;4;"kg";1;"N";"begoot lakei loket begeef";1
