### itemlist2 ###;;;;;
OrigNr;Set;NrSyll;Cond;Stimulus;List
	1;	1;	1;	"B";	"water rapper roeper wallen";2
	2;	1;	2;	"W";	"woeker rapport rapier wikkel";2
	3;	1;	3;	"S";	"bewijs parijs poreus juweel";2
	4;	1;	4;	"N";	"lawaai pieren parel gewin";2
	5;	2;	1;	"B";	"waggel radar ridder wegen";2
	6;	2;	2;	"W";	"woning radauw radijs wielen";2
	7;	2;	3;	"S";	"gewoon direct dorien bewaar";2
	8;	2;	4;	"N";	"gewis dieren duren beween";2
	9;	3;	1;	"B";	"neder molen maken nodig";2
	10;	3;	2;	"W";	"noten maleis meloen nuffig";2
	11;	3;	3;	"S";	"benut lamel limiet genies";2
	12;	3;	4;	"N";	"geniet lemmet lommer benul";2
	13;	4;	1;	"B";	"nepper morren mieren nissan";2
	14;	4;	2;	"W";	"nader merijn marien nimmer";2
	15;	4;	3;	"S";	"teniet remous romein genoot";2
	16;	4;	4;	"N";	"genot raming rommel genies";2
	17;	5;	1;	"B";	"bakker vazen vezel boling";2
	18;	5;	2;	"W";	"botter vazal vizier bitter";2
	19;	5;	3;	"S";	"debut zovéél zovér tabak";2
	20;	5;	4;	"N";	"gebod zuivel zever gebed";2
	21;	6;	1;	"B";	"vader bellen builen veter";2
	22;	6;	2;	"W";	"voeder ballon balein visser";2
	23;	6;	3;	"S";	"gevat labiel libel devies";2
	24;	6;	4;	"N";	"ravijn lebber lobben revier";2
	25;	7;	1;	"B";	"pieter kamer kommer pooier";2
	26;	7;	2;	"W";	"poging kameel komeet peiling";2
	27;	7;	3;	"S";	"tepas mekaar makaak gepoch";2
	28;	7;	4;	"N";	"kaping makker mocca keper";2
	29;	8;	1;	"B";	"kajak pater peter ketter";2
	30;	8;	2;	"W";	"koter patat potent kussen";2
	31;	8;	3;	"S";	"tekoop tapijt topaas bekeer";2
	32;	8;	4;	"N";	"bekom tepel tapir tekijk";2
	33;	9;	1;	"B";	"liever rakker rekel ladder";2
	34;	9;	2;	"W";	"logger raket rekest lover";2
	35;	9;	3;	"S";	"gelik karos koraal beleg";2
	36;	9;	4;	"N";	"belet kerel karig meloen";2
	37;	10;	1;	"B";	"lekker raven rover loeder";2
	38;	10;	2;	"W";	"lokker ravijn rivier leiding";2
	39;	10;	3;	"S";	"gelijk varaan viriel beloop";2
	40;	10;	4;	"N";	"geloof virus varen zeloot";2
	41;	11;	1;	"B";	"jekker later loting jopper";2
	42;	11;	2;	"W";	"juffer latijn letaal jarig";2
	43;	11;	3;	"S";	"gejacht talent teloor gejuich";2
	44;	11;	4;	"N";	"gejok teler tema gejaagd";2
	45;	12;	1;	"B";	"jager loper liepen jokker";2
